"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG000000000034",144191.596966452,-1.98662333894088,0.0423024405088979,-46.9623812489734,0,0
"ENSG00000000005",784.552136110524,-0.339243312009122,0.0987245723614974,-3.43626013153973,0.000589804370764569,0.00071316125794765
"ENSG000000004192",88321.914081956,-0.0893497741374563,0.0156515125052943,-5.70869902236176,1.13843002659576e-08,1.53377434278023e-08
"ENSG000000004573",66877.0321154708,-0.179736017116801,0.0179108639538935,-10.0350277674757,1.06929314350802e-23,1.76976899565253e-23
"ENSG000000004606",40970.325486718,-0.351513263069132,0.0263488074327589,-13.3407655722628,1.34075514875544e-40,2.61804555509869e-40
"ENSG000000009382",52178.4477665299,0.457129919920586,0.0467702285591881,9.77395095134258,1.45658429877862e-22,2.38142714433316e-22
"ENSG000000009715",121014.467477786,0.536114670613502,0.0581376486271144,9.22147151241111,2.93050529920533e-20,4.66257205494919e-20
"ENSG000000010363",108687.415956164,-0.666237022642557,0.0367628446265372,-18.1225644916943,2.11502950394419e-73,5.25198576697489e-73
"ENSG000000010840",245741.560210908,-0.666079511938125,0.0289774183107411,-22.9861578693927,6.41193926390731e-117,2.1100596610308e-116
"ENSG000000011674",128060.668583801,0.0314853046531825,0.0209637398074066,1.50189350480578,0.133124614342437,0.14537871650061
"ENSG000000014607",71905.3056573749,1.46035744410859,0.0379289284086466,38.5024704197991,0,0
"ENSG000000014616",616167.230133655,1.59378495817761,0.0396590361811578,40.1871833419598,0,0
"ENSG000000014976",393185.391835127,1.10582984630911,0.0269351656932764,41.0552457297541,0,0
"ENSG00000001561",186063.827883212,0.438077145668563,0.0373711507813519,11.7223349163538,9.79349354420773e-32,1.76074511592671e-31
"ENSG000000016171",54715.0418046864,0.974178852070386,0.0568111516745702,17.1476694866309,6.54241047794525e-66,1.54520279929471e-65
"ENSG000000016264",13193.4696701676,0.622496211498564,0.0543588506938196,11.4516073013541,2.30825343701273e-30,4.08849136402383e-30
"ENSG00000001629",412878.061830852,-0.808471313063558,0.0253816867435673,-31.8525447592035,1.21372602585172e-222,7.40073399608611e-222
"ENSG000000016305",347392.532438087,-0.639129807096373,0.0301670863366938,-21.1863287015215,1.27672631946563e-99,3.77172052987507e-99
"ENSG000000016315",168009.573332758,-0.0543952405099433,0.0183280074415417,-2.96787529596113,0.00299865962002349,0.00353653094171876
"ENSG000000020167",74481.9485977371,0.553142367270279,0.0278777660694577,19.8417034525693,1.29979129910048e-87,3.56150973639509e-87
"ENSG000000023303",286144.497578457,0.0453881740186556,0.0274982852740604,1.6505819750685,0.098823961933183,0.108750364763894
"ENSG000000025492",315149.6004374,-0.998538856887895,0.0355402619001316,-28.0959903923555,1.09658628145805e-173,5.09761803776285e-173
"ENSG000000025868",910455.841899212,-1.97573727627573,0.0504416301770628,-39.168783192383,0,0
"ENSG000000025868_PAR_Y",0,NA,NA,NA,NA,NA
"ENSG00000002587",78589.9277670087,-0.1377815048989,0.0688749073069757,-2.00046011364934,0.0454506027901013,0.0509796411786719
"ENSG000000027260",436.049636061385,-0.581620547145777,0.0762899340608056,-7.62381766750784,2.46281175901093e-14,3.62353145513881e-14
"ENSG000000027452",4303.39690716355,-0.268151415021444,0.0839555545774818,-3.19396871798363,0.00140331322781404,0.00167546900649903
"ENSG000000027464",97941.5966112949,0.87464616502528,0.0624985041466274,13.9946735840793,1.67999235728785e-44,3.38544501878262e-44
"ENSG000000028225",115422.83832615,-0.429577776086985,0.0207577636359412,-20.6948004429142,3.85821962219954e-95,1.10769468438752e-94
"ENSG000000028347",639643.099153813,-0.718337811512284,0.0187276559149726,-38.3570594618827,0,0
"ENSG000000029194",119021.025786223,-0.206687790961566,0.0157323085412416,-13.1377915974469,1.99978212328399e-39,3.86286355869213e-39
"ENSG00000002933",116439.418444126,-0.6958434550198,0.0592777329733115,-11.7386988354141,8.07187341364625e-32,1.4524160191679e-31
"ENSG00000003056",361023.005742825,-0.332434473129556,0.0144570651422964,-22.9946029749128,5.27848760727549e-117,1.73837041579811e-116
"ENSG000000030963",74087.2534036782,-0.752784199777547,0.0472217440804734,-15.9414738789546,3.26559862657592e-57,7.23892324813033e-57
"ENSG00000003137",112228.798396736,1.92083546123421,0.0760254416241009,25.2656929075343,7.61469405476873e-141,2.92173591276794e-140
"ENSG000000031477",120340.471591106,1.55889440508262,0.0383306081644341,40.6697018318919,0,0
"ENSG000000032493",264223.494412225,1.27899670445987,0.0429760632323135,29.7606762524073,1.26172189420866e-194,6.61545336645231e-194
"ENSG000000033934",393642.166474721,1.54509928494696,0.055490301846021,27.8444923445259,1.25593038982723e-170,5.74155262853829e-170
"ENSG000000034004",33006.8074082308,0.460815736827449,0.0383283324964636,12.0228485512634,2.69517158116408e-33,4.92054778147428e-33
"ENSG000000034029",487371.583573868,1.28386173762577,0.0359173105189175,35.7449296474904,7.93154123537209e-280,6.61677460702458e-279
"ENSG000000034364",48029.9934464296,-1.81870103869352,0.0624321763476835,-29.1308287663273,1.46151221561133e-186,7.33275473816106e-186
"ENSG000000035095",70606.4250633424,0.371581782187516,0.0132699076810328,28.0018362688863,1.54324298470903e-172,7.12715972927594e-172
"ENSG000000037566",795353.532022229,0.602070555895971,0.0227022554255747,26.5202969753271,5.65474531590986e-155,2.3568186722396e-154
"ENSG000000039873",90897.6661432837,0.98025814641843,0.0422468087162805,23.2031288564684,4.23381871494752e-119,1.41172201168598e-118
"ENSG000000039896",101128.280432862,-0.458277510888689,0.0545173609052348,-8.40608392041011,4.23927858655017e-17,6.4769846937697e-17
"ENSG000000040590",599874.931359888,-0.045401859315372,0.0219136628136089,-2.07185168912869,0.0382792745247028,0.0431038815361128
"ENSG000000041393",337577.732844114,-0.332972340377455,0.020892697975014,-15.9372590737521,3.4934395764854e-57,7.74267279008674e-57
"ENSG000000041421",419281.264926697,-0.407062281425305,0.0133410373988634,-30.5120410995912,1.80407668378479e-204,9.95739332737938e-204
"ENSG000000043992",364391.778869171,-0.375864424103522,0.0426546819144788,-8.81179760892643,1.23154825438603e-18,1.91900580118031e-18
"ENSG000000044556",254112.780651823,-0.249203507761007,0.0262960987307037,-9.47682431196659,2.62139434730484e-21,4.22049323464354e-21
"ENSG000000044682",125119.417073284,-1.98856333155641,0.0641692577802966,-30.9893459943838,7.50221732406656e-211,4.30023157120183e-210
"ENSG00000004478",710553.011746096,0.809972758798605,0.0370057019888067,21.8877825650653,3.39638121375518e-106,1.04447295015634e-105
"ENSG000000044875",333257.441617476,-0.638318615164374,0.0222572895978911,-28.6790811772902,6.95792826657562e-181,3.380874252327e-180
"ENSG000000045344",672504.60262292,0.720066019384298,0.0257077232978064,28.0097156423704,1.23730723392548e-172,5.71828916596296e-172
"ENSG000000046604",386172.204213831,1.89590603578477,0.0580850661197914,32.6401631681844,1.10509303218577e-233,7.21353400899734e-233
"ENSG000000047005",120565.852414869,-0.62285105110542,0.021521608267896,-28.9407298633222,3.67114247059579e-184,1.81718777432458e-183
"ENSG000000047665",150034.259895581,0.134269573962839,0.0214204190949173,6.26829817698099,3.6501531912567e-10,5.05101758293551e-10
"ENSG000000047761",218765.025482872,0.0986101977451375,0.0575304472026048,1.71405234167331,0.086519113421899,0.0956152460062711
"ENSG000000047778",439248.034516849,0.805577330170958,0.0264715002600254,30.4318728541223,2.0812577808691e-203,1.1429464899343e-202
