"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG000000000034",306397.463079756,0.226038780639577,0.0668967827314751,3.37891855796565,0.000727715627123613,0.00100906766025375
"ENSG00000000005",28568.006747676,2.04282153609035,0.212121679418277,9.63042316887453,5.94840039297056e-22,1.33698595957025e-21
"ENSG000000004192",209623.699276391,-0.439705291652649,0.0401541354738388,-10.9504360251792,6.61285227130816e-28,1.66850584625365e-27
"ENSG000000004573",231558.439306871,-0.634396046659568,0.0379788860871515,-16.7039139906262,1.2274239733247e-62,5.40351323831661e-62
"ENSG000000004606",140792.567927876,-1.01442907417334,0.0440794969876843,-23.013626368213,3.40484507000724e-117,3.14039690588727e-116
"ENSG000000009382",73845.1094646259,1.78223255247464,0.0728575573695558,24.4618762530647,3.7620571941348e-132,4.18832770528996e-131
"ENSG000000009715",440442.47302493,1.28517300631815,0.0778363588618218,16.511216931404,3.04677001108628e-61,1.3093660387378e-60
"ENSG000000010363",361059.11376542,-0.488342447552829,0.0458797829721741,-10.6439572272826,1.86055751694085e-26,4.56424007692489e-26
"ENSG000000010840",255903.903966715,-0.0255205600301926,0.0501595070070336,-0.50878809527801,0.610900764788561,0.652064101010454
"ENSG000000011674",306757.845744042,-0.909801685804864,0.046649231979147,-19.5030367533502,1.03453598531797e-84,6.1718253714566e-84
"ENSG000000014607",68350.8469387685,-0.39928455170331,0.0370021664902179,-10.7908425256361,3.80287044292151e-27,9.45841209611509e-27
"ENSG000000014616",258736.204253519,-1.13268767593505,0.0538710584095084,-21.0259035069399,3.80088563862398e-98,2.71706771628089e-97
"ENSG000000014976",319413.282571827,-0.0169811129779675,0.0344584592780398,-0.492799542804557,0.622154233808505,0.662482559158867
"ENSG00000001561",176539.850719988,-0.050199872509896,0.0742722543490441,-0.675889980045316,0.499110499911967,0.5422233099695
"ENSG000000016171",562404.279943969,-0.247835947558088,0.0628828656016672,-3.94123176777614,8.1064251393022e-05,0.000117417160234887
"ENSG000000016264",6185.19895389478,0.533243618366344,0.158858747732087,3.35671548453631,0.000788742318088768,0.00109080054923177
"ENSG00000001629",428878.36774884,-0.670015275313804,0.040734202908699,-16.4484690375694,8.60150748088202e-61,3.66287971030892e-60
"ENSG000000016305",420913.773992943,-1.45745188302536,0.0501052114516022,-29.0878302037133,5.11718592924693e-186,1.06344058378834e-184
"ENSG000000016315",226187.211920621,0.169052770881498,0.0331405236080342,5.10108931533341,3.37704139382005e-07,5.3334034316754e-07
"ENSG000000020167",56581.302320694,1.03225290390398,0.042963353593952,24.0263577573538,1.47507020108898e-127,1.55306446383253e-126
"ENSG000000023303",225127.893833525,-0.0772291026672866,0.0562627248727895,-1.37265130407214,0.169860774421545,0.197768091517482
"ENSG000000025492",661293.897330189,-0.367504369058704,0.0453517627411957,-8.1034197315748,5.34354870187718e-16,1.063551404368e-15
"ENSG000000025868",1145432.33874876,0.677498666450368,0.0592304182822184,11.4383569473079,2.68930264865354e-30,7.06809092191036e-30
"ENSG000000025868_PAR_Y",0,NA,NA,NA,NA,NA
"ENSG00000002587",31227.6538549518,0.273131297020534,0.0666385195685002,4.09869995295698,4.15477221056216e-05,6.08358275085669e-05
"ENSG000000027260",11365.8682930918,-3.64423059322551,0.153098653664725,-23.8031524510079,3.09793796307725e-125,3.18115708090893e-124
"ENSG000000027452",696.779564565624,0.196780163663947,0.145332448772516,1.35400019284035,0.175736316193193,0.204109799934299
"ENSG000000027464",4537.45784095123,-0.278753942116088,0.106455293973965,-2.61850709072544,0.00883154561168529,0.0114771959820328
"ENSG000000028225",140289.389381731,-0.323599531447905,0.0460667841109385,-7.02457394613458,2.14720436194824e-12,3.92574683826383e-12
"ENSG000000028347",2226345.58503202,-1.25340977763269,0.0625982772425752,-20.0230714461292,3.46676817182874e-89,2.20172991945999e-88
"ENSG000000029194",159133.407760562,-0.545088054793738,0.0405817389070926,-13.4318555457088,3.93428276822847e-41,1.24014920291396e-40
"ENSG00000002933",250999.742190076,0.243826960346237,0.0881984018758561,2.76452809983379,0.00570051970971412,0.00750053306863295
"ENSG00000003056",679747.9848893,-0.436278933944069,0.029378671127007,-14.8501929191416,6.93687439414049e-50,2.50713672892434e-49
"ENSG000000030963",71291.6427989435,6.58157279637279e-05,0.124596761479315,0.000528229844679024,0.999578533581975,0.99961670874748
"ENSG00000003137",81061.2078999333,2.66269233710865,0.11296834307598,23.5702522016967,7.78347795149619e-123,7.71716660961484e-122
"ENSG000000031477",302781.408229581,-0.416582706977529,0.0527527932317533,-7.89688434406497,2.8596148850044e-15,5.59843108514693e-15
"ENSG000000032493",209511.410507428,-2.7165978298012,0.0836093940763214,-32.4915382991701,1.40411878166038e-231,4.73189836522226e-230
"ENSG000000033934",179310.0043822,0.0942548314429738,0.0320254152871648,2.94312597035234,0.00324916178646289,0.00433635582969066
"ENSG000000034004",78484.5422110463,1.09509277336875,0.0705740386215474,15.5169350480447,2.66478673551794e-54,1.02780145337365e-53
"ENSG000000034029",798619.406839717,1.52959138650205,0.0475443873241966,32.1718602886192,4.36960030314675e-227,1.40218117570953e-225
"ENSG000000034364",213236.717663938,1.80723136602092,0.0952516674053979,18.9732255114151,2.83937869126205e-80,1.60131662784184e-79
"ENSG000000035095",89655.8044632903,0.382888608763428,0.0290494525731751,13.1805791451298,1.13516037590441e-39,3.49943188639709e-39
"ENSG000000037566",741541.401492115,1.49088885888383,0.0373976348464546,39.8658595658536,0,0
"ENSG000000039873",16779.7372827998,0.0932027556204272,0.0842281659039765,1.10655093364709,0.268488131201157,0.304608393219336
"ENSG000000039896",1249894.18101142,-1.15478929413477,0.140271621014066,-8.2325226285007,1.83311507467703e-16,3.68155531756542e-16
"ENSG000000040590",843014.870123679,-0.672080022294655,0.047826525029015,-14.0524535681178,7.44106303592886e-45,2.49704261945146e-44
"ENSG000000041393",275883.563562509,-0.288060460597556,0.0571056754129763,-5.04434031318889,4.5508870988542e-07,7.15275982493981e-07
"ENSG000000041421",673531.228410802,-0.585520412461183,0.0439513816166239,-13.3220024246,1.72420100430077e-40,5.39147400258127e-40
"ENSG000000043992",1025281.57476298,0.600368257347478,0.052643035123588,11.4045144991739,3.96985890751685e-30,1.04054810303632e-29
"ENSG000000044556",602222.679053387,-0.153396344879665,0.0371291824499512,-4.13142263734027,3.60525028018951e-05,5.29226811227504e-05
"ENSG000000044682",40682.6571141004,0.826952562385056,0.125829305104508,6.57201882898604,4.96375840135873e-11,8.77208704458246e-11
"ENSG00000004478",1912323.41376206,-2.0467940039129,0.0627438235573646,-32.6214420458707,2.03681522367294e-233,6.99921346875013e-232
"ENSG000000044875",576637.610821093,-0.497318377569136,0.0350992803017819,-14.168905267949,1.42707832435765e-45,4.83603545014949e-45
"ENSG000000045344",591700.005046288,1.55240624180132,0.0357936720944038,43.3709689720277,0,0
"ENSG000000046604",74279.7167714444,0.43200973690348,0.0551440427955449,7.83420502020903,4.71818365485725e-15,9.19033244085673e-15
"ENSG000000047005",320725.625816125,-0.224007775783717,0.0375675912615542,-5.96279314859778,2.47962243176877e-09,4.17925549535692e-09
"ENSG000000047665",185242.395803344,-0.35622226208799,0.043210787984109,-8.24382703270748,1.66788212724173e-16,3.35356626751323e-16
"ENSG000000047761",648472.536652025,3.14690015370783,0.159131303459411,19.7754941064157,4.84062439653696e-87,2.98169253877489e-86
"ENSG000000047778",99908.1746695875,1.61061093082288,0.0690897995329712,23.311848372845,3.36184203894572e-120,3.23520153582483e-119
"ENSG00000004779",298393.060204197,-0.590257506416702,0.0452742306312329,-13.0373834781304,7.49865191601589e-39,2.27892526022372e-38
"ENSG00000004799",1405645.59753766,3.51168643804568,0.25642924548374,13.6945629248375,1.09416763886375e-42,3.54325743552402e-42
"ENSG000000048093",2717.26182378147,-1.21478549557398,0.137629171829206,-8.82651170117841,1.07991055705262e-18,2.28191235768423e-18
"ENSG000000048383",69241.9476480778,-2.96167580462908,0.112570305747551,-26.309565253122,1.49057030992549e-152,2.12469153867169e-151
"ENSG000000048466",10293.4382428029,2.83157866672888,0.173228277508513,16.345937900293,4.64961126109966e-60,1.95708199440435e-59
"ENSG00000004848",5799.23490881422,-2.3568521547304,0.19893976082043,-11.8470643827594,2.22861884270195e-32,6.08005671974898e-32
"ENSG000000048643",160648.382294394,-0.22434588247404,0.0460593125676935,-4.87080396921509,1.11145069294711e-06,1.72576710121086e-06
"ENSG000000048669",185554.739944251,-0.540666584836418,0.0454487596477247,-11.8961791042737,1.23890783752917e-32,3.39445450724091e-32
"ENSG000000048669.1",185554.739944251,-0.540666584836418,0.0454487596477247,-11.8961791042737,1.23890783752917e-32,3.39445450724091e-32
"ENSG000000048669.2",185554.739944251,-0.540666584836418,0.0454487596477247,-11.8961791042737,1.23890783752917e-32,3.39445450724091e-32
"ENSG000000048971",395236.902129807,-0.10089031909395,0.0374086128454047,-2.69698102709371,0.00699712568967027,0.0091522921316757
"ENSG000000049393",891.159902257625,2.24249353807839,0.144857902134424,15.4806434791347,4.68760542722041e-54,1.8026868572737e-53
"ENSG000000049483",2836.91474584114,-1.31680313810782,0.139759294389489,-9.42193607845555,4.42845809213729e-21,9.77815795114384e-21
