"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG000000000034",424223.192192017,-0.85534517268442,0.0699338504475107,-12.2307747565881,2.12898274965644e-34,1.27421060364804e-33
"ENSG00000000005",263.946654583028,-1.55975544597601,0.371292368056171,-4.20088205459704,2.6587708407272e-05,4.82374350372324e-05
"ENSG000000004192",108946.162092014,-0.336893231429664,0.0405001650355159,-8.31831749658874,8.9220748563357e-17,2.91798664614755e-16
"ENSG000000004573",94585.4433513082,-0.0289978064949332,0.0445624622747268,-0.650722716266489,0.515225496530718,0.578310708763724
"ENSG000000004606",60377.0603883516,-0.500193271914908,0.0661766446395835,-7.55845622937065,4.07881219393861e-14,1.18692387008469e-13
"ENSG000000009382",32471.4150115753,1.47342067080342,0.102439747582153,14.3832907204481,6.58858233096685e-47,5.77370788660206e-46
"ENSG000000009715",7470582.86196627,-0.307465610438016,0.0984881873560908,-3.1218526677352,0.00179716852944836,0.00283887902126467
"ENSG000000010363",322868.969932913,-1.13561397225778,0.066462021180837,-17.0866602020405,1.86557041062805e-65,2.79492270891849e-64
"ENSG000000010840",468510.703584186,-0.132027797255186,0.0801258002807848,-1.64775636302565,0.0994026768692004,0.128612333158188
"ENSG000000011674",88568.6984931993,-0.230977059013375,0.0586711317806601,-3.9368093303002,8.25721625024778e-05,0.000144651193496305
"ENSG000000014607",26419.4669860566,-1.64087160163814,0.100503197987361,-16.3265610895733,6.38853787350575e-60,8.15485434681261e-59
"ENSG000000014616",39722.1498486818,-0.369277428749267,0.0580653167736059,-6.3596902465729,2.0216100298619e-10,4.95381923513845e-10
"ENSG000000014976",168166.932694278,-0.721882201945012,0.0476571246080947,-15.1474141144973,7.88068328896928e-52,7.90586991634643e-51
"ENSG00000001561",67991.858317452,-0.43667804826508,0.0946710435206837,-4.6125830246043,3.9769560891519e-06,7.64435863882798e-06
"ENSG000000016171",72083.3508669064,-0.926792993857228,0.0771733522016952,-12.0092359268653,3.17767384711834e-33,1.82392458116268e-32
"ENSG000000016264",20581.1159150874,-0.313076775567128,0.269820678996492,-1.16031423807661,0.245920889656997,0.298443121773512
"ENSG00000001629",92234.4656430232,-0.146345678666488,0.0594229019645799,-2.46278242610433,0.0137863546980358,0.0199564339897725
"ENSG000000016305",772033.669746661,-0.79066617780583,0.0904045535456368,-8.74586673785958,2.2131018349368e-18,7.68158034980129e-18
"ENSG000000016315",88368.4515260951,0.711671953350604,0.0506408569434549,14.0533157672519,7.35100168135858e-45,6.0895277203318e-44
"ENSG000000020167",27198.3782194498,1.44960368034095,0.0593351579828483,24.4307713945917,8.05774328217913e-132,6.361466234261e-130
"ENSG000000023303",185461.829217387,-0.365107539141927,0.0640350417715221,-5.70168346957024,1.18629959680641e-08,2.6581803900918e-08
"ENSG000000025492",526273.486339049,-0.347542324361819,0.0859769075696834,-4.04227523629109,5.2935045050029e-05,9.39836941998368e-05
"ENSG000000025868",745115.220080256,-0.572518726506883,0.0564521928627516,-10.1416561071207,3.60928029520553e-24,1.530976547232e-23
"ENSG000000025868_PAR_Y",0,NA,NA,NA,NA,NA
"ENSG00000002587",7632.23958944963,-0.97236377529698,0.127008062895399,-7.65592162521048,1.91930756056992e-14,5.67257173857382e-14
"ENSG000000027260",17006.4229816275,0.184318532074675,0.241211830035843,0.764135540314445,0.444786474829862,0.508023762768189
"ENSG000000027452",608.660468312135,2.09473388030723,0.237273447875183,8.82835352655708,1.06227838745939e-18,3.72885190359466e-18
"ENSG000000027464",2156.76961100594,-2.10383050790913,0.190518256054802,-11.0426714556109,2.37854464218837e-28,1.16350400981851e-27
"ENSG000000028225",116435.094513505,-1.03004921514373,0.073784795219792,-13.9601826104605,2.72734151452512e-44,2.21632652769567e-43
"ENSG000000028347",1008270.86676621,-0.907935937939447,0.0520922803640128,-17.4293759381415,4.93819538563274e-68,8.00092067051553e-67
