"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG000000000034",263761.297646555,-1.74638097484254,0.0447595882470346,-39.0169133193098,0,0
"ENSG00000000005",344.308474165447,-0.442300618953588,0.242038978258107,-1.82739417484206,0.0676405245578867,0.0788236616488774
"ENSG000000004192",170338.314835585,-0.739918136058073,0.0343918402482315,-21.5143513902581,1.14266258729725e-102,4.97483684948296e-102
"ENSG000000004573",113333.695044235,-0.462815757133931,0.0265424391380191,-17.4368208862537,4.33528413206189e-68,1.36872904998753e-67
"ENSG000000004606",82599.8467231493,-1.14342696176031,0.0362179826482927,-31.5706971551661,9.32458442174756e-219,1.1542037579131e-217
"ENSG000000009382",319857.652021171,2.81522029974449,0.0685387292586781,41.0748832112034,0,0
"ENSG000000009715",637486.440212018,0.771663492766124,0.0615419585705703,12.5388192168317,4.57765389440875e-36,1.02555735867209e-35
"ENSG000000010363",324496.215113186,-0.674092691218902,0.034118519755131,-19.7573838506733,6.93049033663882e-87,2.60136719543199e-86
"ENSG000000010840",725693.982937327,-2.57053877572156,0.0892046844219989,-28.8161859702475,1.34483418088475e-182,1.21629478127532e-181
"ENSG000000011674",195630.014358368,-0.479163745097088,0.031697050330335,-15.1169821829924,1.25147820296452e-51,3.34306140663405e-51
"ENSG000000014607",67732.4379613598,-0.778255186098582,0.0356074928618431,-21.856500515726,6.74188953875852e-106,3.02265612460053e-105
"ENSG000000014616",207293.137884205,-0.673040242781995,0.0359776114670184,-18.707196374028,4.32538946010409e-78,1.49426672503684e-77
"ENSG000000014976",217387.618811166,-0.216622238301568,0.0271161980345209,-7.98866559485191,1.36407150173805e-15,2.31023348034419e-15
"ENSG00000001561",181942.309906022,0.171014945906341,0.0662079035025911,2.58299896023211,0.00979456181741117,0.012005763904981
"ENSG000000016171",384071.654150518,0.818589345535232,0.0602952285712969,13.5763536341401,5.53123016801203e-42,1.33462902404948e-41
"ENSG000000016264",76637.8013112066,-0.607899224229014,0.109197514967817,-5.56696939860012,2.59207894225859e-08,3.80196738845478e-08
"ENSG00000001629",306368.041213087,-0.720278914242399,0.0319915930564005,-22.5146310461177,2.98412036526504e-112,1.41799855963392e-111
"ENSG000000016305",444354.038181935,-0.502053063453466,0.0472299265330886,-10.6299776499067,2.161642762286e-26,4.28111510244196e-26
"ENSG000000016315",191402.28470429,-0.079262104114103,0.0316248990653535,-2.50631959173391,0.0121995296026428,0.0148763945878496
"ENSG000000020167",49511.2967222133,0.872580142018308,0.0399780156072909,21.8264996089294,1.30003062502731e-105,5.82058156080604e-105
"ENSG000000023303",213076.223780942,-0.397106993184228,0.0342857952135318,-11.5822599625019,5.06917788638932e-31,1.0666980573657e-30
"ENSG000000025492",566108.952817495,0.184846789692673,0.0398744575255842,4.63571923389984,3.55698502331263e-06,4.94819161517975e-06
"ENSG000000025868",1022311.52397374,0.134225822288568,0.0394960515883496,3.39846179277732,0.000677659276811525,0.000875382312993068
"ENSG000000025868_PAR_Y",0,NA,NA,NA,NA,NA
"ENSG00000002587",87227.7227806208,-1.68367448187706,0.0730818485224385,-23.0382032736914,1.93137142988032e-117,9.6300172266182e-117
"ENSG000000027260",84941.3574286922,-5.4933080424687,0.134440936916371,-40.8603820269848,0,0
"ENSG000000027452",5267.22517268243,-0.967573849102312,0.121846199274486,-7.94094403324503,2.00648202147033e-15,3.38728824404454e-15
"ENSG000000027464",8627.85596774466,-2.26692040760798,0.0826914206079288,-27.414215295155,1.85662621254701e-165,1.42230926466894e-164
"ENSG000000028225",144336.256161622,-0.666115138137977,0.0347682690700776,-19.1587086718462,8.18795232504034e-82,2.93618356102761e-81
"ENSG000000028347",1361745.53403917,-0.508565487044195,0.0307808221532331,-16.5221541033717,2.54156177893945e-61,7.48887232691889e-61
"ENSG000000029194",137285.546546778,-0.558469632155144,0.029339363129714,-19.034824637674,8.7785859556809e-81,3.11767760476195e-80
"ENSG00000002933",296211.963177698,-0.0976071560812656,0.0667542346157063,-1.46218673082202,0.143690046787659,0.163326377010909
"ENSG00000003056",683263.024041537,-0.346939447401464,0.0284963169606589,-12.1748872979072,4.22977939214866e-34,9.26075247338942e-34
"ENSG000000030963",48515.3645644308,-2.27326578642665,0.0996185647890697,-22.8197002359953,2.92296785071286e-115,1.43233627588159e-114
"ENSG00000003137",38411.0091215196,0.177476903551951,0.0750166285876346,2.36583417428073,0.0179894999874681,0.021741462886294
